gene-chr,gene-start,gene-end,mRNA-start,mRNA-end,gene-ID,Genbank,Product,mRNALength
NC_035780.1,908503,921086,908503,921086,111136780,XM_022487886.1,gamma-tubulin complex component 6-like,12583
NC_035780.1,921228,923103,921228,923103,111136794,XM_022487906.1,transmembrane protein 18-like,1875
NC_035780.1,927409,934670,927409,934670,111118408,XM_022457866.1,uncharacterized LOC111118408,7261
NC_035780.1,938662,951816,938662,951816,111133372,XM_022481713.1,uncharacterized LOC111133372,13154
NC_035780.1,957967,963094,957967,963094,111118838,XM_022458500.1,uncharacterized LOC111118838,5127
NC_035780.1,962702,964602,962702,964602,111118844,XM_022458516.1,thioredoxin domain-containing protein 17-like,1900
NC_035780.1,970363,981628,970363,981628,111110627,XM_022447205.1,FMRFamide receptor-like,11265
NC_035780.1,984471,995318,984471,995318,111137104,XM_022488366.1,SWI/SNF complex subunit SMARCC2-like,10847
NC_035780.1,995489,1008165,995489,1008165,111105880,XM_022440339.1,coatomer subunit zeta-1-like,12676
NC_035780.1,1038480,1053423,1038480,1053423,111102585,XM_022435396.1,homeobox protein Hox-A9-like,14943
NC_035780.1,1101448,1190874,1101448,1190874,111099747,XM_022431181.1,homeobox protein abdominal-B-like,89426
NC_035780.1,1229194,1261514,1229194,1261514,111128995,XM_022475013.1,uncharacterized LOC111128995,32320
NC_035780.1,1321893,1323311,1321893,1323311,111129046,XM_022475107.1,uncharacterized protein F54H12.2-like,1418
NC_035780.1,1332677,1336216,1332677,1336216,111129066,XM_022475144.1,uncharacterized LOC111129066,3539
NC_035780.1,1357834,1359771,1357834,1359771,111124462,XM_022467317.1,uncharacterized LOC111124462,1937
NC_035780.1,1389975,1399847,1389975,1399847,111115406,XM_022454129.1,homeobox protein Hox-B6a-like,9872
NC_035780.1,1449970,1456485,1449970,1456485,111135933,XM_022486421.1,homeobox protein Hox-B7-like,6515
NC_035780.1,1513765,1522483,1513765,1522483,111114430,XM_022452723.1,homeobox protein Hox-B7-like,8718
NC_035780.1,1543472,1545772,1543472,1545772,111111547,XM_022448595.1,uncharacterized LOC111111547,2300
NC_035780.1,1547067,1548720,1547067,1548720,111103592,XM_022436969.1,putative nuclease HARBI1,1653
NC_035780.1,1575100,1575558,1575100,1575558,111129108,XM_022475230.1,uncharacterized LOC111129108,458
NC_035780.1,1584884,1591482,1584884,1591482,111129120,XM_022475243.1,uncharacterized protein K02A2.6-like,6598
NC_035780.1,1630358,1641055,1630358,1641055,111135210,XM_022485071.1,homeobox protein Hox-C5-like,10697
NC_035780.1,1674069,1678920,1674069,1678920,111113958,XM_022452253.1,homeobox protein Hox-A5-like,4851
NC_035780.1,1720303,1741095,1720303,1741095,111103230,XM_022436319.1,homeobox protein Hox-B3a-like,20792
NC_035780.1,1763699,1778839,1763699,1778839,111101640,XM_022434217.1,homeobox protein Hox-B2a-like,15140
NC_035780.1,1821446,1834660,1821446,1834660,111103171,XM_022436235.1,homeobox protein Hox-A1-like,13214
NC_035780.1,1838755,1841281,1838755,1841281,111103163,XM_022436223.1,putative nuclease HARBI1,2526
NC_035780.1,1840607,1842557,1840607,1842557,111103177,XM_022436247.1,uncharacterized LOC111103177,1950
NC_035780.1,1848220,1849477,1848220,1849477,111115024,XM_022453603.1,growth hormone secretagogue receptor type 1-like,1257
NC_035780.1,1874661,1878188,1874661,1878188,111119406,XM_022459546.1,uncharacterized LOC111119406,3527
NC_035780.1,1878806,1881983,1878806,1881983,111102439,XM_022435187.1,uncharacterized LOC111102439,3177
NC_035780.1,1882143,1890106,1882143,1890106,111102448,XM_022435197.1,NADH dehydrogenase [ubiquinone] flavoprotein 1,7963
NC_035780.1,1892805,1898535,1892805,1898535,111129274,XM_022475556.1,uncharacterized LOC111129274,5730
NC_035780.1,1919019,1926830,1919019,1926830,111113346,XM_022451565.1,uncharacterized LOC111113346,7811
NC_035780.1,1928718,1940217,1928718,1940217,111100652,XM_022432742.1,oxysterol-binding protein-related protein 11-like,11499
NC_035780.1,1940413,1952761,1940413,1952761,111134791,XM_022484176.1,uncharacterized LOC111134791,12348
NC_035780.1,1955555,1981097,1955555,1981097,111128971,XM_022474964.1,double-stranded RNA-specific editase 1-like,25542
NC_035780.1,1982711,1993041,1982711,1993041,111104153,XM_022441699.1,X-ray repair cross-complementing protein 5-like,10330
NC_035780.1,1995230,1997350,1995230,1997350,111134573,XM_022483725.1,uncharacterized LOC111134573,2120
NC_035780.1,1997841,1998704,1997841,1998704,111129318,XM_022475617.1,putative uncharacterized protein FLJ45999,863
NC_035780.1,2002152,2007805,2002152,2007805,111134552,XM_022483684.1,interferon-induced protein 44-like,5653
NC_035780.1,2008426,2020602,2008426,2020602,111134566,XM_022483701.1,interferon-induced protein 44-like,12176
NC_035780.1,2025787,2028053,2025787,2028053,111121766,XM_022463200.1,uncharacterized LOC111121766,2266
NC_035780.1,2028071,2046722,2028071,2046722,111121733,XM_022463175.1,LIM and SH3 domain protein 1-like,18651
NC_035780.1,2060215,2063945,2060215,2063945,111129336,XM_022475652.1,unconventional myosin-Ic-like,3730
NC_035780.1,2063986,2067024,2063986,2067024,111109736,XM_022445962.1,myosin ID heavy chain-like,3038
NC_035780.1,2071890,2139231,2071890,2139231,111109754,XM_022445986.1,uncharacterized LOC111109754,67341
NC_035780.1,2169616,2170594,2169616,2170594,111129344,XM_022475666.1,myosin-1-like,978
NC_035780.1,2169940,2198004,2169940,2198004,111109745,XM_022445972.1,uncharacterized LOC111109745,28064
NC_035780.1,2200370,2214720,2200370,2214720,111132141,XM_022479877.1,tripartite motif-containing protein 2-like,14350
NC_035780.1,2260471,2265634,2260471,2265634,111132148,XM_022479890.1,tripartite motif-containing protein 2-like,5163
NC_035780.1,2265679,2283419,2265679,2283419,111132134,XM_022479864.1,titin-like,17740
NC_035780.1,2322055,2350944,2322055,2350944,111132126,XM_022479852.1,hemicentin-1-like,28889
NC_035780.1,2380664,2391321,2380664,2391321,111099207,XM_022430642.1,organic cation transporter protein-like,10657
NC_035780.1,2392317,2407896,2392317,2407896,111115013,XM_022453591.1,fat-like cadherin-related tumor suppressor homolog,15579
NC_035780.1,2413119,2424450,2413119,2424450,111132349,XM_022480162.1,galactoside 3(4)-L-fucosyltransferase-like,11331
NC_035780.1,2413594,2416601,2413594,2416601,111129373,XM_022475729.1,mucin-2-like,3007
NC_035780.1,2428485,2437730,2428485,2437729,111132366,XM_022480172.1,glycoprotein 3-alpha-L-fucosyltransferase A-like,9244
NC_035780.1,2444648,2446603,2444648,2446603,111103463,XM_022436791.1,uncharacterized LOC111103463,1955
NC_035780.1,2460941,2463301,2460941,2463301,111131773,XM_022479480.1,hairy/enhancer-of-split related with YRPW motif protein-like,2360
NC_035780.1,2463664,2478866,2463664,2478866,111131721,XM_022479382.1,origin recognition complex subunit 4-like,15202
NC_035780.1,2478727,2492972,2478727,2492972,111131752,XM_022479428.1,zinc transporter 1-like,14245
NC_035780.1,2500364,2508028,2500364,2508028,111131766,XM_022479459.1,zinc transporter 1-like,7664
NC_035780.1,2510379,2516296,2510379,2516296,111129378,XM_022475742.1,uncharacterized LOC111129378,5917
NC_035780.1,2524425,2553408,2524425,2553408,111131682,XM_022479322.1,oxysterol-binding protein-related protein 8-like,28983
NC_035780.1,2554181,2599559,2554181,2599559,111128103,XM_022473562.1,RNA polymerase-associated protein CTR9 homolog,45378
NC_035780.1,2605983,2613799,2605983,2613799,111100789,XM_022432885.1,uncharacterized LOC111100789,7816
NC_035780.1,2622064,2630407,2622064,2630407,111100985,XM_022433185.1,protocadherin Fat 4-like,8343
NC_035780.1,2636102,2650036,2636102,2650036,111103238,XM_022436332.1,protocadherin-like wing polarity protein stan,13934
NC_035780.1,2650087,2651517,2650087,2651517,111103245,XM_022436368.1,uncharacterized LOC111103245,1430
NC_035780.1,2653510,2664271,2653510,2664271,111112387,XM_022449872.1,dynein assembly factor 1,10761
NC_035780.1,2665069,2670707,2665069,2670707,111114799,XM_022453278.1,V-type proton ATPase subunit C 1-like,5638
NC_035780.1,2677962,2698757,2677962,2698757,111129421,XM_022475798.1,uncharacterized LOC111129421,20795
NC_035780.1,2715859,2743633,2715859,2743633,111129446,XM_022475840.1,uncharacterized LOC111129446,27774
NC_035780.1,2743875,2762522,2743875,2762522,111100566,XM_022432572.1,acyl-CoA synthetase short-chain family member 3,18647
NC_035780.1,2764023,2768283,2764023,2768283,111136882,XM_022488035.1,isochorismatase domain-containing protein 2-like,4260
NC_035780.1,2768318,2771708,2768318,2771708,111136873,XM_022488024.1,GDH/6PGL endoplasmic bifunctional protein-like,3390
NC_035780.1,2836338,2838568,2836338,2838568,111099831,XM_022431333.1,protein FAM124A-like,2230
NC_035780.1,2852608,2861907,2852608,2861907,111129522,XM_022475977.1,putative ammonium transporter 1,9299
NC_035780.1,2863719,2875976,2863719,2875976,111100662,XM_022432752.1,uncharacterized LOC111100662,12257
NC_035780.1,2875976,2882219,2875976,2882219,111100672,XM_022432762.1,mucin-2-like,6243
NC_035780.1,2897281,2904164,2897281,2904164,111123745,XM_022466314.1,uncharacterized LOC111123745,6883
NC_035780.1,2906683,2907477,2906683,2907477,111129531,XM_022475986.1,extensin-1-like,794
NC_035780.1,2919222,2924444,2919222,2924444,111105302,XM_022439543.1,ADP-ribosylation factor-like protein 1,5222
NC_035780.1,2931744,2936496,2931744,2936496,111137770,XM_022489415.1,serine/arginine-rich splicing factor 7-like,4752
NC_035780.1,2949747,2953009,2949747,2953009,111119645,XM_022460048.1,cysteine-rich motor neuron 1 protein-like,3262
NC_035780.1,2979773,2989042,2979773,2989042,111134776,XM_022484138.1,asparagine-rich protein-like,9269
NC_035780.1,2993656,2996780,2993656,2996780,111103288,XM_022436474.1,transmembrane protein 101-like,3124
NC_035780.1,3004876,3006396,3004876,3006396,111101379,XM_022433852.1,calmodulin-like,1520
NC_035780.1,3012612,3016387,3012612,3016387,111101405,XM_022433891.1,calmodulin-like,3775
NC_035780.1,3015789,3025125,3015789,3025125,111101397,XM_022433870.1,calmodulin-A-like,9336
NC_035780.1,3016638,3022277,3016638,3022277,111129738,XM_022476211.1,uncharacterized LOC111129738,5639
NC_035780.1,3026213,3049596,3026213,3049596,111129748,XM_022476219.1,protocadherin Fat 4-like,23383
NC_035780.1,3034858,3043005,3034858,3043005,111134153,XM_022482989.1,GTP-binding protein Rheb homolog,8147
NC_035780.1,3051760,3053547,3051760,3053547,111113132,XM_022451141.1,beta-1,1787
NC_035780.1,3101787,3114765,3101787,3114765,111128935,XM_022474909.1,UDP-GalNAc:beta-1,12978
NC_035780.1,3123534,3139605,3123534,3139605,111136460,XM_022487351.1,beta-1,16071
NC_035780.1,3141167,3150711,3141167,3150711,111136481,XM_022487363.1,uncharacterized LOC111136481,9544
NC_035780.1,3155262,3161565,3155262,3161565,111119489,XM_022459695.1,beta-1,6303
NC_035780.1,3189045,3193152,3189045,3193152,111129787,XM_022476248.1,uncharacterized LOC111129787,4107
NC_035780.1,3196099,3211319,3196099,3211319,111133651,XM_022482223.1,myoneurin-like,15220
NC_035780.1,3211541,3232507,3211541,3232507,111105807,XM_022440491.1,hypermethylated in cancer 2 protein-like,20966
NC_035780.1,3233170,3235688,3233170,3235688,111106831,XM_022441700.1,M-phase inducer phosphatase-like,2518
NC_035780.1,3238126,3250761,3238126,3250761,111122515,XM_022464299.1,uncharacterized LOC111122515,12635
NC_035780.1,3245892,3265788,3245892,3265788,111122523,XM_022464311.1,uncharacterized LOC111122523,19896
NC_035780.1,3323506,3325002,3323506,3325002,111129837,XM_022476321.1,protein NYNRIN-like,1496
NC_035780.1,3341512,3342570,3341512,3342570,111129845,XM_022476333.1,uncharacterized LOC111129845,1058
NC_035780.1,3342747,3343880,3342747,3343880,111129861,XM_022476352.1,uncharacterized LOC111129861,1133
NC_035780.1,3343958,3345355,3343958,3345355,111129869,XM_022476365.1,uncharacterized LOC111129869,1397
NC_035780.1,3348104,3354091,3348104,3354091,111129878,XM_022476393.1,uncharacterized LOC111129878,5987
NC_035780.1,3399989,3408434,3399989,3408434,111112009,XM_022449286.1,probable G-protein coupled receptor 19,8445
NC_035780.1,3414281,3415915,3414281,3415915,111129927,XM_022476478.1,uncharacterized LOC111129927,1634
NC_035780.1,3424450,3436311,3424450,3436287,111119833,XM_022460362.1,uncharacterized LOC111119833,11837
NC_035780.1,3438774,3464408,3438774,3464408,111104541,XM_022438553.1,protocadherin Fat 4-like,25634
NC_035780.1,3473206,3486317,3473206,3486317,111112448,XM_022449969.1,uncharacterized LOC111112448,13111
NC_035780.1,3507345,3512512,3507345,3512512,111110783,XM_022447405.1,uncharacterized LOC111110783,5167
NC_035780.1,3519458,3522700,3519458,3522700,111123486,XM_022465897.1,beta-1,3242
NC_035780.1,3545295,3550207,3545295,3550207,111119741,XM_022460207.1,uncharacterized LOC111119741,4912
NC_035780.1,3550315,3552602,3550315,3552602,111119754,XM_022460219.1,neuropeptide-like protein 33,2287
NC_035780.1,3559448,3572274,3559448,3572274,111126076,XM_022470483.1,TNF receptor-associated factor 6-like,12826
NC_035780.1,3571851,3586138,3571851,3586138,111126102,XM_022470508.1,ubiquitin-conjugating enzyme E2 Z-like,14287
NC_035780.1,3590620,3602303,3590620,3602303,111129935,XM_022476490.1,ATP-dependent DNA helicase Q1-like,11683
NC_035780.1,3603654,3635803,3603654,3635803,111116034,XM_022455003.1,uncharacterized LOC111116034,32149
NC_035780.1,3605677,3608565,3605677,3608565,111116043,XM_022455016.1,uncharacterized LOC111116043,2888
NC_035780.1,3637454,3642567,3637454,3642567,111111995,XM_022449246.1,microtubule-associated proteins 1A/1B light chain 3A-like,5113
NC_035780.1,3643906,3644577,3643906,3644577,111130149,XM_022476889.1,uncharacterized LOC111130149,671
NC_035780.1,3672033,3679631,3672033,3679631,111134929,XM_022484502.1,ADP-ribosylation factor 6,7598
NC_035780.1,3685823,3694132,3685823,3694132,111101827,XM_022434449.1,neuronal acetylcholine receptor subunit alpha-10-like,8309
NC_035780.1,3696069,3702892,3696069,3702892,111118727,XM_022458328.1,protein FAM199X-like,6823
NC_035780.1,3709487,3731355,3709487,3731355,111105905,XM_022440381.1,uncharacterized LOC111105905,21868
NC_035780.1,3742213,3743271,3742213,3743271,111103607,XM_022437034.1,uncharacterized LOC111103607,1058
NC_035780.1,3746784,3752164,3746784,3752164,111111287,XM_022448168.1,tetraspanin-1-like,5380
NC_035780.1,3752583,3757797,3752583,3757797,111115930,XM_022454856.1,uncharacterized LOC111115930,5214
NC_035780.1,3758532,3765298,3758532,3765298,111130161,XM_022476915.1,uncharacterized LOC111130161,6766
NC_035780.1,3766207,3769475,3766207,3769475,111110859,XM_022447500.1,uncharacterized LOC111110859,3268
NC_035780.1,3771199,3779809,3771199,3779809,111103139,XM_022436185.1,selenoprotein O-like,8610
NC_035780.1,3779863,3788827,3779863,3788827,111103146,XM_022436203.1,arrestin domain-containing protein 17-like,8964
NC_035780.1,3793738,3799748,3793739,3799748,111119414,XM_022459557.1,uncharacterized LOC111119414,6009
NC_035780.1,3812208,3816668,3812208,3816668,111122198,XM_022463826.1,uncharacterized LOC111122198,4460
NC_035780.1,3821736,3830259,3821736,3830259,111119020,XM_022458815.1,zinc finger protein 385B-like,8523
NC_035780.1,3833913,3850572,3833913,3850572,111125333,XM_022469019.1,calmodulin-regulated spectrin-associated protein 1-like,16659
NC_035780.1,3855403,3879259,3855403,3879259,111136966,XM_022488568.1,DNA repair and recombination protein RAD54-like,23856
NC_035780.1,3879644,3900475,3879644,3900475,111115980,XM_022454938.1,uncharacterized LOC111115980,20831
NC_035780.1,3914300,3918047,3914300,3918047,111115748,XM_022454597.1,clathrin light chain B-like,3747
NC_035780.1,3920144,3928549,3920144,3928549,111112068,XM_022449378.1,tubulin-specific chaperone cofactor E-like protein,8405
NC_035780.1,3930723,3933945,3930723,3933945,111106561,XM_022441287.1,U11/U12 small nuclear ribonucleoprotein 25 kDa protein-like,3222
NC_035780.1,3934135,3936908,3934135,3936908,111109865,XM_022446122.1,DNA-directed RNA polymerase III subunit RPC10-like,2773
NC_035780.1,3939048,3949872,3939048,3949872,111111799,XM_022448950.1,uncharacterized LOC111111799,10824
NC_035780.1,3953804,3966889,3953804,3966889,111131292,XM_022478782.1,uncharacterized LOC111131292,13085
NC_035780.1,3977190,3992465,3977190,3992465,111124863,XM_022468098.1,uncharacterized LOC111124863,15275
NC_035780.1,3996432,4013875,3996432,4009438,111124850,XM_022468072.1,uncharacterized LOC111124850,13006
NC_035780.1,4012455,4013027,4012455,4013027,111130177,XM_022476941.1,phytochrome-interacting ankyrin-repeat protein 2-like,572
NC_035780.1,4014035,4018721,4014035,4018721,111119709,XM_022460143.1,salivary glue protein Sgs-3-like,4686
NC_035780.1,4019514,4023265,4019514,4023265,111119716,XM_022460156.1,uncharacterized LOC111119716,3751
NC_035780.1,4023314,4027505,4023314,4027505,111130195,XM_022476975.1,PR domain zinc finger protein 2-like,4191
NC_035780.1,4035331,4046467,4035331,4046467,111132898,XM_022480830.1,E3 ubiquitin-protein ligase SIAH1-like,11136
NC_035780.1,4071898,4073025,4071898,4073025,111130204,XM_022476986.1,uncharacterized LOC111130204,1127
NC_035780.1,4075792,4090455,4075792,4090455,111101169,XM_022433535.1,E3 ubiquitin-protein ligase SIAH1-like,14663
NC_035780.1,4096590,4100442,4096590,4100442,111101176,XM_022433547.1,uncharacterized LOC111101176,3852
NC_035780.1,4101243,4105914,4101243,4105914,111101164,XM_022433520.1,salivary glue protein Sgs-3-like,4671
NC_035780.1,4106001,4111699,4106001,4111699,111101185,XM_022433567.1,phytochrome-interacting ankyrin-repeat protein 2-like,5698
NC_035780.1,4111587,4123104,4111587,4123104,111101139,XM_022433494.1,uncharacterized LOC111101139,11517
NC_035780.1,4126655,4142083,4126655,4142083,111101156,XM_022433507.1,uncharacterized LOC111101156,15428
NC_035780.1,4153587,4165615,4153587,4165615,111115242,XM_022453908.1,uncharacterized LOC111115242,12028
NC_035780.1,4168100,4178564,4168100,4178564,111110131,XM_022446513.1,uncharacterized LOC111110131,10464
NC_035780.1,4180766,4184023,4180766,4184023,111104454,XM_022438425.1,DNA-directed RNA polymerase III subunit RPC10-like,3257
NC_035780.1,4184237,4187276,4184237,4187276,111102578,XM_022435383.1,U11/U12 small nuclear ribonucleoprotein 25 kDa protein-like,3039
NC_035780.1,4189520,4197602,4189520,4197602,111108648,XM_022444672.1,tubulin-specific chaperone cofactor E-like protein,8082
NC_035780.1,4201451,4205190,4201451,4205190,111135567,XM_022485784.1,clathrin light chain B-like,3739
NC_035780.1,4219525,4243840,4219525,4243840,111127270,XM_022472494.1,uncharacterized LOC111127270,24315
NC_035780.1,4244302,4263987,4244302,4263987,111117581,XM_022456766.1,DNA repair and recombination protein RAD54-like,19685
NC_035780.1,4267666,4269413,4267666,4269413,111114641,XM_022453072.1,cartilage acidic protein 1-like,1747
NC_035780.1,4282771,4298209,4282771,4298209,111127966,XM_022473296.1,calmodulin-regulated spectrin-associated protein 1-like,15438
NC_035780.1,4301652,4307708,4301652,4307708,111118476,XM_022457981.1,zinc finger protein 385B-like,6056
NC_035780.1,4312895,4317345,4312895,4317345,111117949,XM_022457194.1,uncharacterized LOC111117949,4450
NC_035780.1,4330509,4337426,4330509,4337426,111113361,XM_022451593.1,uncharacterized LOC111113361,6917
NC_035780.1,4342763,4354904,4342763,4354904,111135136,XM_022484924.1,arrestin domain-containing protein 17-like,12141
NC_035780.1,4354977,4367161,4354977,4367161,111135129,XM_022484890.1,selenoprotein O-like,12184
NC_035780.1,4368778,4372780,4368778,4372780,111124109,XM_022466976.1,uncharacterized LOC111124109,4002
NC_035780.1,4373699,4380364,4373699,4380364,111130247,XM_022477046.1,uncharacterized LOC111130247,6665
NC_035780.1,4382243,4388459,4382243,4388459,111116170,XM_022455174.1,uncharacterized LOC111116170,6216
NC_035780.1,4389141,4394485,4389141,4394485,111108867,XM_022444954.1,tetraspanin-1-like,5344
NC_035780.1,4408651,4429034,4408651,4429034,111110154,XM_022446545.1,uncharacterized LOC111110154,20383
NC_035780.1,4528857,4535657,4528857,4535657,111118316,XM_022457722.1,protein FAM199X-like,6800
NC_035780.1,4538920,4548247,4538920,4548247,111109243,XM_022445329.1,neuronal acetylcholine receptor subunit alpha-10-like,9327
NC_035780.1,4557742,4565740,4557742,4565740,111134171,XM_022483013.1,ADP-ribosylation factor 6,7998
NC_035780.1,4593889,4598966,4593889,4598966,111111295,XM_022448182.1,microtubule-associated proteins 1A/1B light chain 3A-like,5077
NC_035780.1,4600555,4637023,4600555,4637023,111104675,XM_022438750.1,uncharacterized LOC111104675,36468
NC_035780.1,4632147,4635001,4632147,4635001,111104685,XM_022438762.1,uncharacterized LOC111104685,2854
NC_035780.1,4638763,4655938,4638763,4655938,111130258,XM_022477074.1,ATP-dependent DNA helicase Q1-like,17175
NC_035780.1,4659717,4675435,4659717,4675435,111124761,XM_022467935.1,ubiquitin-conjugating enzyme E2 Z-like,15718
NC_035780.1,4681704,4694463,4681704,4694463,111124729,XM_022467894.1,TNF receptor-associated factor 6-like,12759
NC_035780.1,4701559,4705850,4701559,4705850,111115318,XM_022454000.1,uncharacterized LOC111115318,4291
NC_035780.1,4707053,4710471,4707053,4710471,111108836,XM_022444923.1,uncharacterized LOC111108836,3418
NC_035780.1,4712962,4726844,4712962,4726844,111130260,XM_022477087.1,neurogenic locus notch homolog protein 1-like,13882
NC_035780.1,4741769,4747575,4741769,4747575,111121633,XM_022462993.1,flocculation protein FLO11-like,5806
NC_035780.1,4749521,4779422,4749521,4779422,111121476,XM_022462777.1,uncharacterized LOC111121476,29901
NC_035780.1,4790897,4793704,4790897,4793704,111121657,XM_022463024.1,proline-rich transmembrane protein 1-like,2807
NC_035780.1,4801569,4815766,4801569,4815766,111121537,XM_022462860.1,uncharacterized LOC111121537,14197
